"year","na_number","na_value","na_name","winner","winner_party","runnerup","runnerup_party","victory_margin","turn_out","winner_party_cat","runnerup_party_cat"
2002,"NA-168","168","NA-168 Vehari-II","Mr.Ishaq Khan Khakwani","Pakistan Muslim League (Q)","Shahida Daultana","Pakistan Peoples Party Parliamentarians","9.7","52.25873023","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-169","169","NA-169 Vehari-III","Mr.Khan Aftab Ahmed Khan Khichi","Pakistan Muslim League (Q)","Tahmina Daultana","Pakistan Muslim League (N)","2.7","53.52255656","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-171","171","NA-171 D.G Khan-I","Khawaja Sheraz Mahmood","Pakistan Muslim League (Q)","Sardar Muhammad Amjad Farooq Khosa","Pakistan Muslim League (N)","23.3","45.01570245","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-177","177","NA-177 Muzaffargarh-II","Hina Rubbani Khar","Pakistan Muslim League (Q)","Mr.Khalid Ahmad Gurmani","Independent","0.2","55.26141602","Pakistan Muslim League (Q)","Independent"
2002,"NA-178","178","NA-178 Muzaffargarh-III","Engineer Muhammad Shahid Jamil Qureshi Pakistan Muslim League(QA)","Pakistan Muslim League (Q)","Mr.Sultan Ahmad Khan","Pakistan Democratic party","2.9","46.47954173","Pakistan Muslim League (Q)","Other"
2002,"NA-179","179","NA-179 Muzaffargarh-IV","Syed Basit Ahmad Sultan Bokhari","Pakistan Muslim League (Q)","Mr.Abdul Qayyum Khan Jatoi","Pakistan Peoples Party Parliamentarians","17.6","55.07816265","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-181","181","NA-181 Layyah-I","Sardar Bahadur Ahmad Khan Sehar","Pakistan Muslim League (Q)","Mr.Sahibzada Faiz-ul-Hassan","Pakistan Muslim League (N)","18.7","57.66630498","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-183","183","NA-183 Bahawalpur-I","Makhdoom Zada Syed Ali Hassan Gillani","Pakistan Muslim League (Q)","Syed Sohail Hassan Gillani","Independent","18.3","42.00801056","Pakistan Muslim League (Q)","Independent"
2002,"NA-188","188","NA-188 Bahawalnagar-I","Syed Muhammad Asgher Shah","Pakistan Muslim League (Q)","Mian Muhammad Akram Wattoo","Pakistan Peoples Party Parliamentarians","42.6","45.08567521","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-190","190","NA-190 Bahawalnagar-III","Mr.Abdul Sattar Khan","Pakistan Muslim League (Q)","Mr.Sajjad Ahmed Jathol","Pakistan Peoples Party Parliamentarians","2.9","50.54008121","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-194","194","NA-194 Rahimyar Khan-III","Makhdoom Khusro Bakhtiar","Pakistan Muslim League (Q)","Makhdoom Shahab-ud-Din","Pakistan Peoples Party Parliamentarians","7.5","46.29287102","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-195","195","NA-195 Rahimyar Khan-IV","Mr.Jahangir Khan Tareen","Pakistan Muslim League (Q)","Makhdoom Amad-ud-Din","Pakistan Peoples Party Parliamentarians","13.8","44.09094540","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-203","203","NA-203 Shikarapur-II","Mr.Ghous Bakhsh Mahar","Pakistan Muslim League (Q)","Agha Arsalan Khan","Pakistan Peoples Party Parliamentarians","39.4","39.38689710","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-266","266","NA-266 Nasirabad","Haji Mir Zafarullah Khan Jamali","Pakistan Muslim League (Q)","Mr.Munawar Ali Khosa","Pakistan Peoples Party Parliamentarians","15.9","25.67882331","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-270","270","?NA-270 Awaran-Cum-Lasbela","Pir Abdul Qadir Al-Gillani","Pakistan Muslim League (Q)","Mr.Abdul Karim Lasi","Pakistan Peoples Party Parliamentarians","30.4","30.00395867","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-191","191","NA-191 Bahawalnagar-IV","Mr. Muhammad Ijaz ul Haq","Pakistan Muslim League (Z)","Mr.Muhammad Afzal Sindhu","Pakistan Peoples Party Parliamentarians","6.2","51.20311383","Other","Pakistan Peoples Party Parliamentarians"
2002,"NA-196","196","NA-196 Rahimyar Khan-V","Ch. Zaffar Iqbal Warriach","Pakistan Peoples Party Parliamentarians","Chaudhry Muhammad Jaffer Iqbal","Pakistan Muslim League (N)","15.7","45.92473798","Pakistan Peoples Party Parliamentarians","Pakistan Muslim League (N)"
2002,"NA-198","198","?NA-198 SUKKUR-I","Syed Khursheed Ahmed Shah","Pakistan Peoples Party Parliamentarians","Moulana Muhammad Asad Thanvi","Muttahidda Majlis-e-Amal Pakistan","21.5","35.14393054","Pakistan Peoples Party Parliamentarians","Muttahidda Majlis-e-Amal Pakistan"
